ID,Title,Year,Rating,Director,Actors,Genres
tt12881826,Curry,2018,,Milan Poudel,"['Bharat Karki', 'Suresh Bidrohi Mandal', 'Anu Shrestha']","['Short', 'Thriller', 'Drama']"
tt8333386,Killer Highway 21,2018,,Parveen Dagar,,['Thriller']
tt0466310,Madhurapathinezhu,2004,,,,
tt4651516,Aaj Watan Ne Humen Pukara,1968,,,,['Drama']
tt0238409,Mee Tujha Pati Nahi,1973,,Anant Mane,,
tt6707406,Panileni Puli Raju,2016,,,"['Dhanraj', 'Swetaa Varma']",['Comedy']
tt0425735,Aina,1977,5.7,Nazrul Islam,"['Nadeem Baig', 'Bahar Begum', 'Perveen Bobby']","['Drama', 'Romance']"
tt2725196,Engiruthu Vandhan,1995,,,,['Drama']
tt0369209,Abhimanyu,1990,,Biplab Chatterjee,,['Drama']
tt0248220,Nahi Abhi Nahi,1980,7.7,Nazrul Islam,"['Allauddin', 'Arzoo', 'Ayyaz']",
tt0155286,Tower House,1962,5.2,Nisar Ahmad Ansari,"['Ajit Khan', 'Shakila', 'Nisar Ahmad Ansari']","['Drama', 'Horror', 'Thriller', 'Action']"
tt0234735,Silver King,1935,,Chimanlal Luhar,"['Sabita Devi', 'Motilal', 'Sriranjani Sr.']",
tt0265730,Sethu,1999,8.1,Bala,"['Vikram', 'Abitha', 'Sivakumar']","['Action', 'Drama', 'Romance']"
tt0239795,Percy,1989,7.4,Pervez Mehrwanji,"['Kurush Deboo', 'Priya Krishnaswamy', 'Ruby Patel']",
tt6787632,Vanna Jigina,2015,,Nandha Periasamy,"['Dev Anand', 'Ansalpal', 'P. Balaji']",['Drama']
tt13531286,Chari Ori Fireli Yaha Mogi Mata,2020,,Shriramchandra Chauhan,"['Augustine Gamit', 'Vikram Salat', 'Bharat Salat']",['Family']
tt1579868,Puttinilla Mettinilla,1994,,,"['Bhanuchander', 'Brahmanandam', 'Madhubala']",['Drama']
tt0253682,Shilanganache Sone,1950,,Bhalji Pendharkar,"['Shanta Apte', 'Baburao Pendharkar', 'Suryakant']",
tt0232862,Tu Saubhagyavati Ho,1986,,Murlidhar Kapdi,"['Suhas Bhalekar', 'Alka Inamdar', 'Nivedita Joshi']",
tt1445739,Shanti,1965,6.9,A. Bhimsingh,"['Shivaji Ganesan', 'Chittor V. Nagaiah', 'S.S. Rajendran']",
tt11284566,Record the film,2020,6.8,,"['Inayat Khan', 'Searha Asghar', 'Mahrukh Rizvi']","['Horror', 'Mystery', 'Thriller']"
tt2564144,Naduvula Konjam Pakkatha Kaanom,2012,8.2,Balaji Tharaneetharan,"['Vijay Sethupathi', 'Gayathrie', 'Bagavathi Perumal']","['Comedy', 'Drama']"
tt0242503,Har Har Gange,1968,,Babubhai Mistry,"['Jayshree Gadkar', 'Abhi Bhattacharya', 'Jeevan Dhar']","['Drama', 'Fantasy']"
tt1579622,Maga Rayudu,1994,6.0,E.V.V. Satyanarayana,"['Babu Mohan', 'Brahmanandam', 'Karthik']",['Drama']
tt13578656,Kathi Kappal,2008,,Dinesh Selvaraj,"['Anoop Kumar', 'Poornitha', 'Meera Vasudevan']",['Drama']
tt13986218,Chini Kam Rang Kada,2020,9.4,Bibek Ghimire,"['Manav Subedi', 'Anu Thapa', 'Sushil Sitaula']",['Drama']
tt3599768,Alabhya Labhya Sree,2013,8.6,,"['Mahesh Harilal', 'Febin Francis', 'Shinu Puthuval']","['Short', 'Comedy']"
tt1869226,100% Love,2011,7.0,Sukumar,"['Naga Chaitanya Akkineni', 'Tamannaah Bhatia', 'Tara Alisha']","['Comedy', 'Drama', 'Romance']"
tt2641676,Doshhomi,2012,6.4,Suman Maitra,"['Indraneil Sengupta', 'Koyel Mallick', 'Pijush Ganguly']",['Drama']
tt0072972,Faraar,1975,6.7,Shankar Mukherjee,"['Sanjeev Kumar', 'Sharmila Tagore', 'Amitabh Bachchan']","['Action', 'Crime', 'Drama', 'Romance', 'Thriller']"
tt7138444,Dabee,2000,,Imon Kalyan Chattopadhyay,"['Bhaskar Banerjee', 'Atanu Chakraborty', 'Kushal Chakraborty']","['Action', 'Drama', 'Romance']"
tt7521384,100% Kadhal,2019,3.8,M.M. Chandramouli,"['G.V. Prakash Kumar', 'Shalini Pandey', 'Nassar']","['Comedy', 'Drama', 'Romance']"
tt0307305,Pachani Samsaram,1992,6.8,Tammareddy Bharadwaja,"['Aamani', 'Annapoorna', 'Babu Mohan']",['Drama']
tt1565019,High Heel,1963,,,"['Anil Chatterjee', 'Sandhya Roy', 'Anup Kumar']",['Drama']
tt8794012,Pedala Brathukulu,1981,,V. Madhusudan Rao,"['Annapoorna', 'Chalam', 'Rallapalli']",['Drama']
tt0454481,James,2005,3.8,Rohit Jugraj,"['Mohit Ahlawat', 'Priyanka Kothari', 'Mohan Agashe']","['Action', 'Romance']"
tt0318409,Maappilai Vandhaachu,1992,,,,
tt0437349,Namaste: Say Hello to... Love,2002,,Viral Lakhia,"['Amit Mistry', 'Perizaad Zorabian', 'Asha Patel']",
tt0293645,Ther Thiruvizha,1968,6.6,M.A. Thirumugham,"['M.G. Ramachandran', 'S.A. Ashokan', 'Sandow M.M.A. Chinnappa Devar']",
tt0318609,Raja Mudra,1995,,R.K. Selvamani,"['Mansoor Ali Khan', 'M.N. Nambiar', 'Napolean']",
tt0061370,Aurat,1967,7.5,,"['Padmini', 'Pran Sikand', 'Rajesh Khanna']","['Comedy', 'Drama']"
tt0260416,Talli Tandrulu,1991,6.6,Rama Rao Tatineni,"['Nandamuri Balakrishna', 'Vijayshanti', 'Kaikala Satyanarayana']","['Drama', 'Romance']"
tt0178197,Aap Ki Sewa Mein,1946,,Vasant Joglekar,,
tt0248343,Radha Krishna,1954,9.0,Raja Nene,"['Kamini Kaushal', 'Ratan Kumar', 'Agha']",['Fantasy']
tt0037209,Ramshastri,1944,7.2,,"['Gajanan Jagirdar', 'Anant Marathe', 'Shakuntala Paranjpye']",['Drama']
tt8130904,The Body,2019,5.4,Jeethu Joseph,"['Emraan Hashmi', 'Rishi Kapoor', 'Sobhita Dhulipala']","['Mystery', 'Thriller']"
tt7955498,Toran Bandhao Ho Raaj,2003,,Govind Sakariya,"['Himat Bagariya', 'Bharat Hadiya', 'Sailesh Jasani']",['Drama']
tt8066304,Aalorukkam,2018,6.5,V.C. Abhilash,"['Indrans', 'Sreekanth Menon', 'Shaji A.J.']",['Drama']
tt3717102,Rani - Goshta Eka Ranichi,2013,,Suchita Shabbir,"['Siyaa Patil', 'Vijay Chavan', 'Vandana Voknis']","['Drama', 'Family']"
tt5290788,Uppu Karuvaadu,2015,6.1,Radha Mohan,"['M.S. Bhaskar', 'Chaams', 'Karunakaran']",['Comedy']
tt7898970,Tathagatha Buddha The Life & Times of Gautama Buddha,2008,8.1,Sridhar Allani,"['Sunil Sharma', 'Parvati Melton', 'Surendra Pal']","['Biography', 'Drama']"
tt1661031,Brindaavanam,2010,7.1,Vamshi Paidipally,"['N.T. Rama Rao Jr.', 'Kajal Aggarwal', 'Samantha Ruth Prabhu']","['Action', 'Comedy', 'Drama', 'Musical', 'Romance']"
tt7145108,Bullah Ki Jaana,2005,,,,['Short']
tt0778881,Tum... Ho Na!,2005,5.0,N.S. Raj Bharath,"['Sumit Nijhawan', 'Nethra Raghuraman', 'Jackie Shroff']",['Romance']
tt12345200,Vezham,2020,,Sandeep Shyam,"['Janani Iyer', 'Iswarya Menon', 'Ashok Selvan']",['Drama']
tt11374030,Gaav Pudhe Aahe,2020,,Munnawar Bhagat,"['Vije Bhatia', 'Pooja Jaiswal', 'Swapnil Joshi']",['Romance']
